Item Kas,Satuan,Jenis Item,Kategori Akun
Acrillic (stand promo A4),pcs,Peralatan,Beban Operasional
Adaptor Printee (Bee Pos),pcs,Pemeliharaan Inventaris Office/ Produksi,Beban Operasional
Administrasi Setor Sales,,Beban Adm Bank,Beban Operasional
Air Mineral 220ml,pcs,HPP,HPP
Air Mineral 300 ml,pcs,HPP,HPP
Air Mineral 330 ml,pcs,HPP,HPP
Air Mineral 600 ml,pcs,HPP,HPP
Akrilic Sign Board,pcs,Peralatan,Beban Operasional
Aluminium Foil,pcs,"Plastik, Tissue, Sedotan, Sealer",Beban Penjualan
APAR/Tabung Pemadam Kebaran,pcs,Peralatan,Beban Operasional
Asam Jawa,gram,Perlengkapan,Beban Penjualan
Ayam Besar,pcs,HPP,HPP
Ayam Fillet,gram,HPP,HPP
Ayam Kecil,pcs,HPP,HPP
Ayam Utuh,pcs,HPP,HPP
Baking Soda,gram,Perlengkapan,Beban Penjualan
Ballpoint/Bolpen/Pulpen,pcs,Beban ATK,Beban Operasional
Balon,pcs,Perlengkapan,Beban Penjualan
Bambu (Banner),pcs,Leaflet Brosur Poster Flyer,Beban Marketing
Ban Sepeda Motor,pcs,Pemeliharaan kendaraan,Beban Operasional
Banner,pcs,Leaflet Brosur Poster Flyer,Beban Marketing
Bantalan/Bak Stempel (tinta),pcs,Peralatan,Beban Operasional
Baskom Stainless,pcs,Peralatan,Beban Operasional
Baterai,pcs,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Baterai timer,pcs,Pemeliharaan Peralatan Office/ Produksi,Beban Operasional
Baut,gram,Pemeliharaan Gedung,Beban Operasional
Bawang Bombai,gram,Mix Vegeatable,Beban Penjualan
Bawang Goreng,gram,Mix Vegeatable,Beban Penjualan
Bawang Merah,gram,Mix Vegeatable,Beban Penjualan
Bawang Putih,gram,Mix Vegeatable,Beban Penjualan
BBM/Bahan Bakar Mesin/Bensin (Genset),liter,Listrik,Beban Operasional
Beban Konsumsi,pcs,Konsumsi,Beban Operasional
Beef burger pizza,gram,HPP,HPP
Beef Patties,pcs,HPP,HPP
Bell Meja,pcs,Peralatan,Beban Operasional
Bendera Merah Putih,pcs,Peralatan,Beban Operasional
Bensin (transportasi),liter,Transportasi Harian,Beban Operasional
Beras,gram,HPP,HPP
Biaya Iklan/Ads,pcs,Biaya Promo Lainnya,Beban Marketing
Biaya Sinoman/Tunjangan Karyawan,,,
Binder Klip,pcs,Beban ATK,Beban Operasional
Bingkisan,,Beban Komisi/ Bonus,Beban Marketing
Blender,pcs,Peralatan,Beban Operasional
Bonus Karyawan,,Beban Komisi/ Bonus,Beban Operasional
