Nama Item,Satuan,Harian,Mingguan,Path Icon
Air Mineral 330 ML,PCS,,1,
Air Mineral 600 ml,BOTOL,,1,
Aluminium Foil,PACK,,1,
Ayam Besar Reg,PCS,1,1,ayamRegBesar.svg
Ayam Fillet Raw,GR,,1,ayamFillet.svg
Ayam Kecil Reg,PCS,1,1,ayamRegKecil.svg
Ayam Utuh,PCS,1,1,ayamUtuh.svg
Balon,SET,,1,
Batter Mix,GR,,1,
Beef Burger pizza,GR,,1,
Beef Patties,PCS,,1,
Beef Patties Mini,PCS,,1,
Beras,GR,1,1,beras.svg
Bowl 360,PCS,,1,
Bowl Lazizaa,PCS,,1,
Box Burger,PCS,,1,
Box Catering,PCS,,1,
Box Geprek,PCS,,1,boxGeprek.svg
Box Pizza Mini,PCS,,1,
Box Pizza Personal,PCS,,1,
Box Pizza Reguler,PCS,,1,
Box Putih & Mika,PCS,,1,
Box Roasted,PCS,,1,
Buah Jeruk,PCS,,1,
Bubuk Balado,GR,,1,
Bubuk BBQ,GR,,1,
Bubuk Cabai,GR,,1,
Bubuk Lemon Tea,GR,,1,
Bubuk Milo,GR,,1,milo.svg
Bubuk Orange,GR,,1,
Bumbu Marinasi,PACK,,1,
Bumbu Penyedap,GR,,1,
Bumbu Ungkep,PACK,,1,
Bun Burger Halus,PCS,,1,
Butter Unsalt,GR,,1,
Chicken Paper Bag,PCS,,1,
Chicken Patties,PCS,,1,
Chili Sachet,PCS,,1,chiliSachet.svg
Chili Sauce LT,ML,,1,chiliSachet.svg
Concase,GR,,1,
Corn Flakes,GR,,1,
Cup 14 Oz,PCS,,1,
Cup 14 Oz Lazizaa,PCS,,1,
Cup 16 Oz Lazizaa,PCS,,1,
Cup Saus,PCS,,1,
Cup Saus 35 ml,PCS,,1,
Cup Sealer,PCS,,1,
ELPIGI,PCS,,1,
French Fries Raw,GR,,1,frenchfries.svg
Fruit Tea raw,PCS,,1,
Goodie Bag,PCS,,1,
Greentea Sachet,SACHET,,1,
Ground Beef,GR,,1,
Ground Chicken,GR,,1,
Gula Pasir,GR,,1,
Hand Gloves,PACK,,1,
Hot Cup,PCS,,1,
Kaldu Ayam,GR,,1,
Keju Cheddar,GR,,1,
Keju Mozarella,GR,,1,
Keju Slice,GR,,1,
Kertas Nasi,PCS,,1,
Krimer Kental Manis,ML,1,1,skm.svg
Lunch Box,PCS,1,1,lunchBox.svg
Margarine,GR,,1,
Masker,KRTN,,1,
Mayonaise,GR,,1,
Mika Bento,PCS,,1,
Mika Hotdrums,PCS,,1,
Minyak Goreng,GR,,1,
Minyak Padat,GR,1,1,minyakpadat.svg
Nampan,PCS,,1,
Nota Pesanan,PCS,,1,
Paper Boat,PCS,,1,
Paper Struk,PCS,,1,
Plastik 15,PCS,,1,
Plastik 24,PCS,,1,
Plastik 28,PCS,,1,
Plastik 40,PCS,,1,
Plastik Kecil FF,PCS,,1,
Plastik Klip,PCS,,1,
Plastik Klip 13x20,PCS,,1,
Plastik Klip 30x20,PCS,,1,
Plastik PE 2 kg,PACK,,1,
Plastik PE 5 kg,PACK,,1,
Plastik Sampah,PCS,,1,
Rame Box,PCS,1,1,rameBox.svg
Sabuk Box Lazizaa,PCS,,1,
Sabuk Pempek,PCS,,1,
Sambal Bajak raw,GR,1,1,sambalBajak.svg
Sambal Bangkok raw,GR,,1,
Sambal Bawang raw,GR,1,1,sambalBawang.svg
Sambal Ijo raw,GR,,1,
Sambal Korek raw,GR,1,1,sambalKorek.svg
Saus BBQ raw,ML,1,1,sausBBQ.svg
Saus BP raw,GR,1,1,sausBP.svg
Sedotan Bubble 6 mm,PCS,,1,
Sedotan Fleksibel,GR,,1,
Sendok Plastik,PCS,,1,
Small Chicken,PCS,,1,
Smoked Beef Brisket,GR,,1,
Sosis Ayam,GR,,1,
Sosis Sapi,GR,,1,
Souvenir (Goodie Bag),PCS,,1,
S-Tee Pet raw,BOTOL,,1,
Sterofoam,PCS,,1,
Susu UHT,ML,,1,skm.svg
Talenan,PCS,,1,
Teh Botol,PCS,,1,
Teh Celup,SACHET,,1,
Teh Kotak,PCS,,1,
Telur Ayam,PCS,,1,
Tepung krispy,GR,1,1,tepungOri.svg
Tissue Hand Towel,PACK,,1,
Tomat Sachet,PCS,,1,tomat.svg
Topi Ulang Tahun,LBR,,1,
Trimming Dori,GR,,1,doriTriming.svg
Trophy,SET,,1,
Undangan Ulang Tahun,LBR,,1,
Vanilla Liquid,ML,,1,
Bubuk Cotton Candy,Gr,1,1,bubukCandy.svg
Bubuk Bubblegum,Gr,1,1,bubbleGum.svg
Kecap Manis,Ml,,1,
STee Kotak raw,Pcs,,1,
